Name,Area_num,latitude,longitude
ALBANY PARK,14,41.96761374,-87.71879008
ARCHER HEIGHTS,57,41.81016775,-87.72689213
ARMOUR SQUARE,34,41.84771205,-87.63465013
ASHBURN,70,41.74587301,-87.70790365
AUBURN GRESHAM,71,41.74465358,-87.6563711
AUSTIN,25,41.89110926,-87.75728825
AVALON PARK,45,41.74436318,-87.58689044
AVONDALE,21,41.93847879,-87.70974121
BELMONT CRAGIN,19,41.92747554,-87.76507207
BEVERLY,72,41.7124349,-87.67553561
BRIDGEPORT,60,41.83612962,-87.64945431
BRIGHTON PARK,58,41.81695587,-87.69852686
BURNSIDE,47,41.72818206,-87.5964756
CALUMET HEIGHTS,48,41.72965033,-87.57313528
CHATHAM,44,41.74098589,-87.61671048
CHICAGO LAWN,66,41.77240177,-87.69528825
CLEARING,64,41.77955683,-87.76821111
DOUGLAS,35,41.83581381,-87.61783787
DUNNING,17,41.94652162,-87.80464501
EAST GARFIELD PARK,27,41.87929906,-87.70568808
EAST SIDE,52,41.70731145,-87.5349029
EDGEWATER,77,41.98641431,-87.66318479
EDISON PARK,9,42.00693745,-87.81352083
ENGLEWOOD,68,41.77707166,-87.64218156
FOREST GLEN,12,41.99330345,-87.75730089
FULLER PARK,37,41.80877219,-87.63241547
GAGE PARK,63,41.7951409,-87.69673405
GARFIELD RIDGE,56,41.78800587,-87.75620669
GRAND BOULEVARD,38,41.81279404,-87.61714646
GREATER GRAND CROSSING,69,41.76294927,-87.61654708
HEGEWISCH,55,41.66327359,-87.54171587
HERMOSA,20,41.9240135,-87.73449551
HUMBOLDT PARK,23,41.90114611,-87.71880122
HYDE PARK,41,41.79433318,-87.59252004
IRVING PARK,16,41.95346368,-87.72108624
JEFFERSON PARK,11,41.9775897,-87.76921463
KENWOOD,39,41.80838459,-87.59481787
LAKE VIEW,6,41.94293869,-87.65316535
LINCOLN PARK,7,41.92273843,-87.64758584
LINCOLN SQUARE,4,41.97247169,-87.68598228
LOGAN SQUARE,22,41.92250168,-87.69493122
LOOP,32,41.87990505,-87.6271523
LOWER WEST SIDE,31,41.85307732,-87.66502885
MCKINLEY PARK,59,41.83018957,-87.67190253
MONTCLARE,18,41.92899992,-87.79799759
MORGAN PARK,75,41.68955601,-87.66906732
MOUNT GREENWOOD,74,41.69493009,-87.7129214
NEAR NORTH SIDE,8,41.89678945,-87.62972912
NEAR SOUTH SIDE,33,41.85764045,-87.61963002
NEAR WEST SIDE,28,41.87911408,-87.65478747
NEW CITY,61,41.80964039,-87.65992814
NORTH CENTER,5,41.94831047,-87.68251735
NORTH LAWNDALE,29,41.86068951,-87.71547572
NORTH PARK,13,41.98273884,-87.72103035
NORWOOD PARK,10,41.9852015,-87.80330811
OAKLAND,36,41.82325954,-87.60247034
OHARE,76,41.97931639,-87.90291029
PORTAGE PARK,15,41.95402358,-87.76163186
PULLMAN,50,41.70593863,-87.59831595
RIVERDALE,54,41.65956971,-87.60265432
ROGER,1,42.00858639,-87.66874907
ROSELAND,49,41.70724325,-87.6233976
SOUTH CHICAGO,46,41.7419511,-87.55328531
SOUTH DEERING,51,41.69442582,-87.57083932
SOUTH LAWNDALE,30,41.84078681,-87.7117808
SOUTH SHORE,43,41.7619491,-87.5728464
UPTOWN,3,41.96512795,-87.65726429
WASHINGTON HEIGHTS,73,41.71815334,-87.64919833
WASHINGTON PARK,40,41.79218547,-87.61790462
WEST ELSDON,62,41.79291051,-87.72441726
WEST ENGLEWOOD,67,41.77576837,-87.66672149
WEST GARFIELD PARK,26,41.87848304,-87.73004169
WEST LAWN,65,41.77019564,-87.72699913
WEST PULLMAN,53,41.67403931,-87.63585125
WEST RIDGE,2,42.00015887,-87.69338827
WEST TOWN,24,41.90103595,-87.67239804
WOODLAWN,42,41.77918006,-87.59557181
